Chlorophyll Content (mg/m²),Water (liters/day),Nitrogen (mg/L),Rainfall (mm/year),Temperature (°C),Yield (kg/acre)
419.52540157093,75.5728162468695,42.4607388248753,848.377497417528,19.1705681989617,3467.12087820804
486.075746548968,40.6038217393656,29.0433594387293,977.770981623956,20.2660730970849,3190.49671865655
441.105350428658,68.5495717514334,30.926239599683,1067.15055841697,18.5496577056013,2274.39836361598
417.953273198759,82.5262234564629,20.0208234566871,1110.93467657009,19.3988487389122,3410.11012655693
369.461919735562,42.6385259214454,34.2017206724189,1089.84762822844,18.2128655166476,2928.7841851907
458.357645226662,92.7712889814238,22.1161923467934,699.646253156051,19.5162725751285,5051.70935208667
375.034884505077,71.2048849981404,33.0913605817193,1097.03373150215,18.4566053828924,2446.51319942505
556.709200312832,41.8396628995431,16.7871246229628,635.177435330263,20.2472516472092,2574.72416781682
585.465104200412,53.4648167152504,16.3787636936464,720.102408930341,20.5663749375827,3114.04120351246
353.376607530311,97.2205417856388,26.6811896476797,973.756032039594,21.9483661467068,3152.10731734122
516.690015233066,74.9391839831233,27.0727806044216,668.815515268143,18.7805546490378,5385.21974678445
411.557967901162,46.4483540661283,20.7243705965016,962.00855703372,18.8288085952099,5165.13462580195
427.217824437573,57.2526701368337,15.2638740146676,784.779414818138,21.7896780743591,4314.5425328209
570.238655317064,67.4022175516291,11.5684215685559,857.679951092789,21.4585633538273,3154.35471544019
228.414423279155,41.2570041560638,11.0092730915127,789.090902067287,20.4642161977489,3275.51341284397
234.851719880616,64.6969308168255,20.862011600259,642.104140718943,21.3656289470008,4368.87309993058
208.08735897613,69.3675181260819,28.4741376864775,900.455251753177,18.838768578886,4959.4662350593
533.047938219175,54.6206725168739,39.0497312522451,1178.15966663693,21.4961152914537,3536.3922204338
511.26270037994,75.3183400175192,28.9948680285604,967.070008896076,21.4692300386986,4038.2481145775
548.004859298728,85.1944071755306,46.1620327774113,780.019122970275,18.9924489939203,5552.13254613078
591.447336893106,54.1500534463381,11.4087921830163,1173.68990047441,20.0334932570395,4599.16342683372
519.663425686689,77.2299940167993,17.2264248616254,833.542351171336,21.719097055564,4142.2005281676
384.591744901173,78.3773345778245,23.5405797108057,1018.51064032131,20.7165999846699,2284.88984456757
512.211670514582,96.9124180677305,33.0998475226049,980.467682953467,20.642076421283,2704.06084711164
247.309770347573,86.6965700377866,44.1094463157577,1171.74650882331,20.2390584022575,2803.96633526249
455.96840853101,90.9007161874004,24.0080780782631,1148.7616166969,19.075326258773,4492.59316980918
257.341314963619,69.4251945061765,20.7195473001768,688.802433810019,21.913661486045,2432.4510068182
577.867566819834,51.120915218763,12.4755667537158,651.411524837654,19.7900385824887,2115.97947992651
408.739328700029,99.7489175775781,42.8521391079242,1085.7853966793,19.2458003862119,3441.40223060746
365.86477599621,47.761345662322,25.1866577282672,1142.96592797809,20.9143228387271,4875.43671403523
305.822244841851,68.2874391612559,32.8620078166774,895.78416235374,20.4308192530419,4772.99741720824
509.693475773687,44.0855859545264,49.3422167268488,1014.45676430027,19.3689652328185,5170.68140780156
382.460132886619,96.6310514410492,10.0637828241718,641.872968107051,19.2151663634282,4784.99302507724
427.373579547459,97.8954964509064,15.8180056279546,731.882638713883,18.8580267406501,4453.14231440585
207.515920174542,83.1633437202384,41.1644397607742,689.625716794033,18.313945746961,3944.64838703058
447.054198830351,60.9995706178101,42.2050994083135,960.69635013002,20.502843626077,2833.99328195188
444.838289088969,55.2629440670575,40.7698847613102,718.523936259664,20.022774552575,4274.19222342647
446.773598749903,55.9181994722229,31.4799556417132,635.90778933051,18.9393936430114,4546.49899283336
577.49923140585,47.6376415252045,49.1542792409222,781.324369641606,18.2204981023335,2494.97331365887
472.728119641393,71.5485371846034,25.8473823998128,1006.32745746837,18.0756042730551,4260.58935441254
343.803160229514,48.5090365420887,34.0777479245245,946.718234557113,20.9539837186605,2390.99485277421
374.812781519737,59.0038399932074,12.5347601819539,798.434979296781,18.7530127566207,4188.30720922597
479.052478370906,77.6023885575463,26.3942979962936,1100.08732550603,19.066574477558,2635.67556407457
224.090188651708,83.652616575445,38.9000035003969,765.761464807254,18.0564487751224,2476.05418883333
466.706686178267,41.4563622773237,19.549553630828,756.32858301941,18.6025562193287,2452.40022405535
468.255147847264,65.8069590626044,47.7531035629259,935.968446473753,21.49778287025,5644.10125132363
284.153024429536,79.1274756905283,37.4713347057316,886.929383907465,18.9682433389698,4392.34926980977
251.570519061941,91.1947585695108,21.5030153143029,867.583596360217,21.8158327939323,3000.63488880856
326.171340369674,68.5194869327249,40.7599569082343,693.47137137244,18.6573873536006,2285.79551196837
345.484308377049,98.1523523030611,13.3265908723244,902.787714979795,19.0130458346386,4144.72567404841
428.078708167152,55.9379528524868,48.9909769004183,755.411350365267,21.470839873908,2579.21188350723
375.440605384928,40.8105223976031,11.9714103629423,835.307929571409,19.7064333547673,5113.611737618
595.349535223691,69.0251718821042,47.3382356459487,1040.14226860236,19.0713157567744,3984.43862640723
240.817924299211,55.3668277012011,20.1141551099305,1162.11769533561,20.7712550508807,4905.79553942936
283.550702437934,89.4230603213902,40.3129643076356,1064.31777911359,18.204913615929,3582.90639528057
264.523807153999,53.9663603308667,10.0029479773242,843.380336773958,21.562420706314,4809.29097848144
461.243330186159,58.6377530974784,20.169603567184,955.819883597258,21.3662461814266,4738.45742537205
301.316641015913,87.4736458611467,39.9640242659888,1047.89868952542,18.3431881405297,4245.66483230281
386.524309142523,82.9085951215216,31.2934428358929,848.532630057535,21.194474986498,5382.95853663252
297.770236800641,73.4830741994358,14.5980859854846,816.148895287381,21.8446817675328,4329.89429440951
263.587833458208,82.2968837153656,25.745189833491,681.145977573518,19.9682784766196,4312.44164311929
244.150056465722,65.1182118142016,25.0219742033817,1041.75648088553,20.2726134005042,3231.93242936933
462.531835786109,40.3186028568801,32.726489767238,1103.10515448458,20.7191869609037,5726.02506447027
255.273180539446,40.6813077107316,36.7190828984087,789.950646617972,19.0669077728641,4068.55828621514
278.632944672021,70.6733072544212,43.63320969649,1070.10465938552,20.5986450359535,3566.85863029429
